Year,Region,Postcode,Data Item,Sum of Value
2014,Bonython,2905,Number of Businesses by Industry - Accommodation and food services (no.),3
2014,Bonython,2905,Number of Businesses by Industry - Administrative and support services (no.),6
2014,Bonython,2905,"Number of Businesses by Industry - Agriculture, forestry and fishing (no.)",0
2014,Bonython,2905,Number of Businesses by Industry - Arts and recreation services (no.),0
2014,Bonython,2905,Number of Businesses by Industry - Construction (no.),44
2014,Bonython,2905,Number of Businesses by Industry - Currently unknown (no.),0
2014,Bonython,2905,Number of Businesses by Industry - Education and training (no.),0
2014,Bonython,2905,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)",0
2014,Bonython,2905,Number of Businesses by Industry - Financial and insurance services (no.),6
2014,Bonython,2905,Number of Businesses by Industry - Health care and social assistance (no.),5
2014,Bonython,2905,Number of Businesses by Industry - Information media and telecommunications (no.),0
2014,Bonython,2905,Number of Businesses by Industry - Manufacturing (no.),6
2014,Bonython,2905,Number of Businesses by Industry - Mining (no.),0
2014,Bonython,2905,Number of Businesses by Industry - Other services (no.),5
2014,Bonython,2905,"Number of Businesses by Industry - Professional, scientific and technical services (no.)",19
2014,Bonython,2905,Number of Businesses by Industry - Public administration and safety (no.),0
2014,Bonython,2905,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)",10
2014,Bonython,2905,Number of Businesses by Industry - Retail trade (no.),10
2014,Bonython,2905,Number of Businesses by Industry - Total (no.),128
2014,Bonython,2905,"Number of Businesses by Industry - Transport, postal and warehousing (no.)",11
2014,Bonython,2905,Number of Businesses by Industry - Wholesale trade (no.),3
2015,Bonython,2905,Number of Businesses by Industry - Accommodation and food services (no.),3
2015,Bonython,2905,Number of Businesses by Industry - Administrative and support services (no.),7
2015,Bonython,2905,"Number of Businesses by Industry - Agriculture, forestry and fishing (no.)",3
2015,Bonython,2905,Number of Businesses by Industry - Arts and recreation services (no.),0
2015,Bonython,2905,Number of Businesses by Industry - Construction (no.),42
2015,Bonython,2905,Number of Businesses by Industry - Currently unknown (no.),3
2015,Bonython,2905,Number of Businesses by Industry - Education and training (no.),0
2015,Bonython,2905,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)",0
2015,Bonython,2905,Number of Businesses by Industry - Financial and insurance services (no.),8
2015,Bonython,2905,Number of Businesses by Industry - Health care and social assistance (no.),7
2015,Bonython,2905,Number of Businesses by Industry - Information media and telecommunications (no.),0
2015,Bonython,2905,Number of Businesses by Industry - Manufacturing (no.),8
2015,Bonython,2905,Number of Businesses by Industry - Mining (no.),0
2015,Bonython,2905,Number of Businesses by Industry - Other services (no.),5
2015,Bonython,2905,"Number of Businesses by Industry - Professional, scientific and technical services (no.)",22
2015,Bonython,2905,Number of Businesses by Industry - Public administration and safety (no.),0
2015,Bonython,2905,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)",11
2015,Bonython,2905,Number of Businesses by Industry - Retail trade (no.),8
2015,Bonython,2905,Number of Businesses by Industry - Total (no.),141
2015,Bonython,2905,"Number of Businesses by Industry - Transport, postal and warehousing (no.)",10
2015,Bonython,2905,Number of Businesses by Industry - Wholesale trade (no.),4
2014,Braddon,2612,Number of Businesses by Industry - Accommodation and food services (no.),23
2014,Braddon,2612,Number of Businesses by Industry - Administrative and support services (no.),17
2014,Braddon,2612,"Number of Businesses by Industry - Agriculture, forestry and fishing (no.)",3
2014,Braddon,2612,Number of Businesses by Industry - Arts and recreation services (no.),8
2014,Braddon,2612,Number of Businesses by Industry - Construction (no.),36
2014,Braddon,2612,Number of Businesses by Industry - Currently unknown (no.),8
2014,Braddon,2612,Number of Businesses by Industry - Education and training (no.),10
2014,Braddon,2612,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)",0
2014,Braddon,2612,Number of Businesses by Industry - Financial and insurance services (no.),24
2014,Braddon,2612,Number of Businesses by Industry - Health care and social assistance (no.),21
2014,Braddon,2612,Number of Businesses by Industry - Information media and telecommunications (no.),17
2014,Braddon,2612,Number of Businesses by Industry - Manufacturing (no.),7
2014,Braddon,2612,Number of Businesses by Industry - Mining (no.),0
2014,Braddon,2612,Number of Businesses by Industry - Other services (no.),14
2014,Braddon,2612,"Number of Businesses by Industry - Professional, scientific and technical services (no.)",78
2014,Braddon,2612,Number of Businesses by Industry - Public administration and safety (no.),3
2014,Braddon,2612,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)",61
2014,Braddon,2612,Number of Businesses by Industry - Retail trade (no.),34
2014,Braddon,2612,Number of Businesses by Industry - Total (no.),390
2014,Braddon,2612,"Number of Businesses by Industry - Transport, postal and warehousing (no.)",20
2014,Braddon,2612,Number of Businesses by Industry - Wholesale trade (no.),6
2015,Braddon,2612,Number of Businesses by Industry - Accommodation and food services (no.),35
2015,Braddon,2612,Number of Businesses by Industry - Administrative and support services (no.),15
2015,Braddon,2612,"Number of Businesses by Industry - Agriculture, forestry and fishing (no.)",3
2015,Braddon,2612,Number of Businesses by Industry - Arts and recreation services (no.),7
2015,Braddon,2612,Number of Businesses by Industry - Construction (no.),43
2015,Braddon,2612,Number of Businesses by Industry - Currently unknown (no.),10
2015,Braddon,2612,Number of Businesses by Industry - Education and training (no.),9
2015,Braddon,2612,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)",0
2015,Braddon,2612,Number of Businesses by Industry - Financial and insurance services (no.),23
2015,Braddon,2612,Number of Businesses by Industry - Health care and social assistance (no.),19
2015,Braddon,2612,Number of Businesses by Industry - Information media and telecommunications (no.),15
2015,Braddon,2612,Number of Businesses by Industry - Manufacturing (no.),8
2015,Braddon,2612,Number of Businesses by Industry - Mining (no.),0
2015,Braddon,2612,Number of Businesses by Industry - Other services (no.),15
2015,Braddon,2612,"Number of Businesses by Industry - Professional, scientific and technical services (no.)",88
2015,Braddon,2612,Number of Businesses by Industry - Public administration and safety (no.),3
2015,Braddon,2612,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)",65
2015,Braddon,2612,Number of Businesses by Industry - Retail trade (no.),36
2015,Braddon,2612,Number of Businesses by Industry - Total (no.),417
2015,Braddon,2612,"Number of Businesses by Industry - Transport, postal and warehousing (no.)",19
2015,Braddon,2612,Number of Businesses by Industry - Wholesale trade (no.),4
2014,Bruce,2617,Number of Businesses by Industry - Accommodation and food services (no.),21
2014,Bruce,2617,Number of Businesses by Industry - Administrative and support services (no.),19
2014,Bruce,2617,"Number of Businesses by Industry - Agriculture, forestry and fishing (no.)",0
2014,Bruce,2617,Number of Businesses by Industry - Arts and recreation services (no.),4
2014,Bruce,2617,Number of Businesses by Industry - Construction (no.),30
2014,Bruce,2617,Number of Businesses by Industry - Currently unknown (no.),10
2014,Bruce,2617,Number of Businesses by Industry - Education and training (no.),7
2014,Bruce,2617,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)",0
2014,Bruce,2617,Number of Businesses by Industry - Financial and insurance services (no.),34
2014,Bruce,2617,Number of Businesses by Industry - Health care and social assistance (no.),34
2014,Bruce,2617,Number of Businesses by Industry - Information media and telecommunications (no.),6
2014,Bruce,2617,Number of Businesses by Industry - Manufacturing (no.),0
2014,Bruce,2617,Number of Businesses by Industry - Mining (no.),0
2014,Bruce,2617,Number of Businesses by Industry - Other services (no.),8
2014,Bruce,2617,"Number of Businesses by Industry - Professional, scientific and technical services (no.)",61
2014,Bruce,2617,Number of Businesses by Industry - Public administration and safety (no.),3
2014,Bruce,2617,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)",35
2014,Bruce,2617,Number of Businesses by Industry - Retail trade (no.),13
2014,Bruce,2617,Number of Businesses by Industry - Total (no.),299
2014,Bruce,2617,"Number of Businesses by Industry - Transport, postal and warehousing (no.)",9
2014,Bruce,2617,Number of Businesses by Industry - Wholesale trade (no.),5
2015,Bruce,2617,Number of Businesses by Industry - Accommodation and food services (no.),17
2015,Bruce,2617,Number of Businesses by Industry - Administrative and support services (no.),17
2015,Bruce,2617,"Number of Businesses by Industry - Agriculture, forestry and fishing (no.)",0
2015,Bruce,2617,Number of Businesses by Industry - Arts and recreation services (no.),4
2015,Bruce,2617,Number of Businesses by Industry - Construction (no.),29
2015,Bruce,2617,Number of Businesses by Industry - Currently unknown (no.),10
2015,Bruce,2617,Number of Businesses by Industry - Education and training (no.),8
2015,Bruce,2617,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)",0
2015,Bruce,2617,Number of Businesses by Industry - Financial and insurance services (no.),33
2015,Bruce,2617,Number of Businesses by Industry - Health care and social assistance (no.),33
2015,Bruce,2617,Number of Businesses by Industry - Information media and telecommunications (no.),6
2015,Bruce,2617,Number of Businesses by Industry - Manufacturing (no.),3
2015,Bruce,2617,Number of Businesses by Industry - Mining (no.),0
2015,Bruce,2617,Number of Businesses by Industry - Other services (no.),7
2015,Bruce,2617,"Number of Businesses by Industry - Professional, scientific and technical services (no.)",67
2015,Bruce,2617,Number of Businesses by Industry - Public administration and safety (no.),3
2015,Bruce,2617,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)",36
2015,Bruce,2617,Number of Businesses by Industry - Retail trade (no.),11
2015,Bruce,2617,Number of Businesses by Industry - Total (no.),301
